id,appid,developer
458,16730,Spark Unlimited
459,16810,Firaxis Games
460,16900,BlackFoot Studios
461,17080,Hi-Rez Studios
462,17100,"Tilted Mill Entertainment, Inc."
463,17120,"Tilted Mill Entertainment, Inc."
464,17140,"Tilted Mill Entertainment, Inc."
465,17180,"Tilted Mill Entertainment, Inc."
466,17300,Crytek
467,17330,Crytek
468,17390,Maxis™
469,17410,DICE
470,17430,EA Black Box
471,17440,Maxis™
472,17450,BioWare
473,17460,BioWare
474,17470,EA Redwood Shores
475,17480,EA Los Angeles
476,17500,Zombie Panic Team
477,17570,Octoshark Studios
478,17580,Puny Human
479,17710,"GameConnect, InterWave Studios"
480,17740,Empires
481,17760,
482,18000,Hothead Games
483,18020,Hothead Games
484,18040,Hothead Games
485,18050,Hothead Games
486,18070,Hothead Games
487,18120,Futuremark
488,18300,Shorebound Studios
489,18310,
490,18400,Fakt Software
491,18420,Fakt Software
492,18430,Fakt Software
493,18450,Fakt Software
494,18460,Fakt Software
495,18470,Spellbound
496,18480,4Head Studios
497,18500,Hidden Path Entertainment
498,18600,Inventive Dingo
499,18700,Broken Rules
500,18820,Brian Cronin
501,19000,Double Helix Games
502,19020,Infinite Interactive
503,19030,Climax Studios
504,19080,G5 Entertainment
505,19200,Dialogue Design
506,19320,Strawdog Studios Ltd
507,19500,"Luc Bernard, SilverSphereStudios"
508,19800,Gearbox Software
509,19810,Red Storm Entertainment
510,19830,"Red Storm Entertainment, Ubisoft Montreal"
511,19900,Ubisoft Montreal
512,19980,Ubisoft Montreal
513,20200,Perpetual FX Creative
514,20500,"Volition, Reactor Zero, THQ Nordic"
515,20510,GSC Game World
516,20530,"Volition, Inc."
517,20540,Relic Entertainment
518,20550,"Volition, Inc."
519,20570,"Relic Entertainment, Feral Interactive (Mac/Linux)"
520,20700,Moonpod
521,20710,Moonpod
522,20820,Sidhe
523,20900,CD PROJEKT RED
524,20920,CD PROJEKT RED
525,21000,Traveller's Tales
526,21010,Deadline Games
527,21030,Deadline Games  
528,21090,"Monolith Productions, Inc., Timegate"
529,21100,Day 1 Studios
530,21110,"Monolith Productions, Inc., Timegate"
531,21120,"Monolith Productions, Inc., Timegate"
532,21130,TT Games
533,21300,Dark Castle Software
534,21400,Games Faction
535,21500,Eipix
536,21600,Certain Affinity™
537,21640,Proper Games
538,21660,Capcom
539,21670,Capcom
540,21680,Capcom
541,21690,Capcom
542,21780,Ubisoft Reflections
543,21800,Ubisoft  Shanghaï
544,21980,Techland
545,22000,2D BOY
546,22100,TaleWorlds Entertainment
547,22120,Frictional Games
548,22130,Paradox Development Studio
549,22140,Frictional Games
550,22180,Frictional Games
551,22200,ACE Team
552,22230,ACE Team
553,22300,Bethesda Game Studios
554,22310,Rebellion
555,22320,Bethesda Game Studios
556,22330,Bethesda Game Studios
557,22340,Headfirst Productions
558,22350,Splash Damage
559,22370,Bethesda Game Studios
560,22380,Obsidian Entertainment
561,22450,inXile Entertainment
562,22490,Obsidian Entertainment
