id,appid,positive,negative
668,31870,10,12
669,31880,28,2
670,31890,20,3
671,31900,19,7
672,31910,26,6
673,31920,19,6
674,31930,27,9
675,31980,18,9
676,32000,0,13
677,32110,43,13
678,32120,24,18
679,32140,89,40
680,32150,303,6
681,32160,244,44
682,32200,81,45
683,32310,121,32
684,32330,305,87
685,32340,306,41
686,32350,221,235
687,32360,2156,115
688,32370,11569,1590
689,32380,777,315
690,32390,366,192
691,32400,1501,171
692,32410,37,16
693,32420,166,279
694,32430,2287,1389
695,32440,3033,256
696,32450,163,58
697,32460,1194,63
698,32470,6526,396
699,32500,1880,1348
700,32510,825,140
701,32610,50,36
702,32620,220,24
703,32630,166,26
704,32640,121,11
705,32650,58,14
706,32660,41,14
707,32670,258,23
708,32680,167,17
709,32710,27,8
710,32720,36,13
711,32730,47,27
712,32740,33,8
713,32750,93,16
714,32760,102,15
715,32770,121,17
716,32800,5963,1708
717,32900,112,65
718,33100,815,92
719,33110,150,79
720,33120,995,84
721,33130,410,73
722,33180,291,85
723,33210,263,37
724,33230,14861,2639
725,33320,511,263
726,33390,26,7
727,33460,1356,750
728,33520,412,60
729,33550,4,8
730,33570,289,86
731,33580,57,33
732,33600,432,51
733,33610,181,167
734,33620,228,64
735,33650,299,37
736,33660,21,7
737,33670,166,134
738,33680,955,92
739,33700,2,2
740,33710,1,2
741,33720,5,1
742,33730,108,56
743,33750,6,23
744,33760,1,4
745,33770,154,37
746,33790,16,13
747,33900,1728,357
748,33930,17683,1519
749,33950,151,56
750,33980,78,49
751,33990,83,86
752,34010,3113,785
753,34030,8540,907
754,34180,3,3
755,34190,614,173
756,34270,2136,519
757,34390,0,0
758,34410,260,42
759,34420,55,57
760,34500,31,7
761,34600,270,98
762,34630,6,2
763,34640,11,2
764,34800,46,23
765,34810,80,26
766,34820,373,101
767,34830,2143,1728
768,34870,6775,2724
769,34900,10465,2981
770,34920,49,154
771,35000,1612,270
772,35070,58,28
773,35130,2506,237
774,35140,20297,865
775,35300,73,26
776,35310,90,44
777,35320,329,67
778,35450,26922,2274
779,35460,606,210
780,35470,0,0
781,35480,619,177
782,35600,44,37
783,35700,9448,407
784,35720,16369,706
785,35800,126,22
786,36000,184,111
787,36100,43,2
788,36130,4,1
789,36150,8,1
790,36180,28,11
791,36210,11,3
792,36240,7,0
793,36270,8,3
794,36300,13,5
795,36310,11,1
796,36320,4,3
797,36900,0,2
798,36910,3,8
799,37000,581,126
800,37010,128,72
801,37030,122,43
802,37100,94,39
803,37210,51,23
804,37220,27,9
805,37230,13,2
806,37240,26,66
807,37260,50,3
808,37270,20,0
809,37280,13,3
810,37290,6,1
811,37300,8,5
812,37310,4,10
813,37320,2,3
814,37330,3,1
815,37340,8,0
816,37360,5,2
817,37370,3,1
818,37380,5,6
819,37390,12,1
820,37400,494,118
821,37500,33,9
822,37600,821,85
823,37700,158,63
824,37800,24,13
825,37960,19,3
826,38000,20,2
827,38070,11,1
828,38080,11,2
829,38090,3,0
830,38100,2,0
831,38110,4,3
832,38120,19,2
833,38130,17,2
834,38140,16,1
835,38150,7,1
836,38160,2,0
837,38170,16,2
838,38180,6,0
839,38190,4,5
840,38210,273,66
841,38230,66,95
842,38400,6983,643
843,38410,4758,321
844,38420,847,210
845,38430,163,42
846,38440,319,29
847,38450,138,45
848,38460,95,19
849,38490,47,16
850,38600,2147,207
851,38700,1660,226
852,38720,1069,117
853,38740,1714,148
854,39000,9867,1166
855,39110,156,44
856,39120,6885,2326
857,39140,11722,878
858,39150,5323,682
859,39160,1089,749
860,39190,1179,397
861,39200,813,343
862,39210,9808,2107
863,39500,2962,728
864,39510,3809,475
865,39520,175,75
866,39530,449,55
867,39540,694,149
868,39550,374,159
869,39560,90,181
870,39630,151,57
871,39640,106,35
872,39650,385,196
873,39660,109,49
874,39670,611,226
875,39680,1944,482
876,39690,735,763
877,39800,2093,272
878,39900,14,15
879,40100,5336,903
880,40200,6,2
881,40210,10,0
882,40300,3848,585
883,40320,88,13
884,40330,135,32
885,40340,60,17
886,40350,211,26
887,40380,859,217
888,40390,2987,891
889,40400,1109,205
890,40420,130,66
891,40500,14,42
892,40700,5437,264
893,40720,716,149
894,40800,24133,1301
895,40930,323,42
896,40950,2992,199
897,40960,695,134
898,40970,4079,170
899,40980,404,123
900,40990,1727,180
901,41000,3950,269
902,41050,1404,35
903,41060,803,25
904,41070,15574,1977
905,41100,1051,514
906,41300,1540,128
907,41310,0,0
908,41400,8,20
909,41500,3825,317
910,41600,34,36
911,41660,7,7
912,41680,3,9
913,41700,10172,470
914,41740,260,72
915,41800,505,168
916,41900,644,188
917,42000,9,5
918,42120,1471,545
919,42140,169,83
920,42170,429,329
921,42200,27,6
922,42210,48,23
923,42220,48,8
924,42230,22,8
925,42500,232,152
926,42670,2766,227
927,42700,14201,1839
928,42810,59,25
929,42850,180,31
930,42890,355,46
931,42910,20912,1964
932,42920,41,72
933,42930,8,3
934,42940,4,3
935,42950,9,2
936,42960,4743,632
937,42980,88,41
938,42990,335,448
939,43000,481,310
940,43100,115,30
941,43190,507,81
942,43500,70,85
943,43600,46,5
944,44100,73,11
945,44340,674,676
946,44350,11953,3009
947,44360,232,108
948,44600,43,28
949,44680,11,1
950,44690,201,24
951,45000,293,30
952,45100,1342,265
953,45300,314,148
954,45400,802,69
955,45410,154,115
956,45420,10,1
957,45450,462,45
958,45700,1620,144
959,45710,218,230
960,45720,134,95
961,45730,130,139
962,45740,2713,934
963,45750,998,504
964,45760,8247,1141
965,45770,1387,376
966,46000,68,29
967,46200,54,21
968,46250,169,71
969,46260,312,89
970,46270,182,42
971,46280,42,52
972,46290,116,86
973,46340,86,50
974,46350,31,30
975,46360,81,42
976,46370,165,175
977,46380,36,44
978,46400,106,153
979,46410,348,175
980,46440,84,204
981,46450,217,140
982,46460,243,57
983,46470,0,0
984,46480,431,98
985,46490,123,155
986,46500,2092,260
987,46510,862,156
988,46520,167,119
989,46540,258,410
990,46550,97,87
991,46560,476,283
992,46570,103,87
993,46600,40,12
994,46700,9,30
995,46710,15,21
996,46720,3,12
997,46730,10,29
998,46740,40,88
999,46750,109,63
1000,46760,6,13
1001,46770,195,57
1002,46790,14,12
1003,46830,9,17
1004,46840,3,12
1005,46850,29,17
1006,47000,542,91
1007,47110,2,3
1008,47120,2,0
1009,47130,5,2
1010,47400,971,2385
1011,47410,4886,2609
1012,47500,12,3
1013,47520,5,0
1014,47540,255,57
1015,47570,2,0
1016,47700,378,1712
1017,47730,92,7
1018,47780,8943,493
1019,47790,3209,1370
1020,47800,405,214
1021,47810,8808,726
1022,47870,11405,2775
1023,47890,11679,2493
1024,47920,1071,629
1025,48000,30321,1994
1026,48110,516,752
1027,48150,4,1
1028,48190,6676,929
1029,48220,2670,2972
1030,48240,5653,3686
1031,48700,75872,2213
1032,48720,6236,1055
1033,48800,676,794
1034,48900,225,58
1035,48950,399,68
1036,49000,24,6
1037,49300,60,74
1038,49320,32,24
1039,49330,75,49
1040,49470,705,95
1041,49520,144595,11021
1042,49540,4219,3441
1043,49600,6296,328
1044,49800,95,148
1045,49810,117,25
1046,49900,177,83
1047,50000,179,10
1048,50130,31445,1855
1049,50300,32361,2613
1050,50400,0,0
1051,50510,65,93
1052,50620,8948,1064
1053,50820,36,13
1054,50910,12,0
1055,50920,8,4
1056,50930,2,3
1057,50940,5,1
1058,50960,17,3
1059,50970,15,6
1060,50980,9,3
1061,50990,24,1
1062,51000,16,8
1063,51010,33,15
1064,51020,5,1
1065,51030,6,1
1066,51060,87,13
1067,55000,166,25
1068,55020,39,31
1069,55040,1397,180
1070,55100,5506,3685
1071,55110,2674,1005
1072,55130,0,0
1073,55140,1599,359
1074,55150,9847,998
1075,55190,0,0
1076,55210,0,0
1077,55230,44810,1877
1078,57000,87,9
1079,57200,412,41
1080,57300,20222,1199
1081,57620,153,129
1082,57640,1131,108
1083,57650,214,266
1084,57680,473,208
1085,57690,8740,827
1086,57700,98,42
1087,57740,730,345
1088,57800,79,92
1089,57900,4433,2243
1090,58200,249,31
1091,58230,81,16
1092,58400,46,83
1093,58520,675,228
1094,58550,201,420
1095,58560,191,34
1096,58570,352,59
1097,58610,1892,574
1098,60340,39,20
1099,60350,80,11
1100,60600,30,22
1101,60700,9,25
1102,60800,66,69
1103,61100,171,53
1104,61310,140,44
1105,61500,334,98
1106,61510,105,28
1107,61520,225,35
1108,61600,432,65
1109,61700,1293,157
1110,61730,256,14
1111,62000,406,36
1112,62100,564,39
1113,63000,673,168
1114,63110,139,59
1115,63200,720,205
1116,63230,0,0
1117,63380,20280,2801
1118,63500,572,160
1119,63610,288,103
1120,63620,48,13
1121,63630,21,7
1122,63640,15,5
1123,63650,68,18
1124,63660,155,80
1125,63700,616,140
1126,63710,3058,490
1127,63800,225,159
1128,63900,115,28
1129,63910,492,47
1130,63940,399,247
1131,63950,623,313
1132,63960,50,76
1133,64000,2881,416
1134,65070,56,55
1135,65080,87,30
1136,65200,28,50
1137,65270,144,27
1138,65300,1601,217
1139,65400,87,17
1140,65500,84,63
1141,65530,125,85
1142,65540,3396,523
1143,65560,206,196
1144,65600,247,254
1145,65610,119,225
1146,65710,297,59
1147,65730,340,260
1148,65740,362,442
1149,65780,548,209
1150,65790,3195,942
1151,65800,10693,932
1152,65930,6661,2923
1153,65980,9555,8224
1154,67000,331,114
1155,67370,11992,1234
1156,70000,12222,2367
1157,70100,598,308
1158,70110,192,148
1159,70120,176,298
1160,70200,68,22
1161,70210,147,29
1162,70300,6719,268
1163,70400,5047,183
1164,70420,440,148
1165,70500,33,11
1166,70600,2188,323
1167,70620,400,88
1168,70640,319,53
1169,70650,102,101
1170,70660,140,184
1171,70900,229,44
1172,71000,322,85
1173,71230,1240,273
1174,71240,325,62
1175,71250,3009,584
1176,71260,687,89
1177,71300,0,0
1178,71310,0,0
1179,71340,6921,589
1180,72000,680,107
1181,72200,2328,522
1182,72400,245,80
1183,72500,34,41
1184,72520,0,0
1185,72530,0,0
1186,72850,237303,14951
1187,72900,139,77
1188,73010,605,179
1189,73020,600,238
1190,73060,32,68
1191,73170,1075,144
1192,73190,35,44
1193,73210,205,110
1194,73220,113,62
1195,78000,2670,126
1196,80000,46,113
1197,80200,267,80
1198,80300,109,38
1199,80310,1199,128
1200,80330,848,107
1201,80340,364,27
1202,80350,298,14
1203,80360,312,11
1204,90200,338,68
1205,90400,59,13
1206,90500,65,93
1207,90800,0,0
1208,91100,771,98
1209,91200,3300,481
1210,91310,13283,2045
1211,91330,434,275
1212,91600,2552,296
1213,91700,4459,906
1214,91800,77,9
1215,91810,21,7
1216,91900,1219,225
1217,92000,1270,827
1218,92100,1107,673
1219,92200,130,8
1220,92210,146,29
1221,92220,124,22
1222,92300,564,253
1223,92400,36,13
1224,92600,121,39
1225,92700,36,79
1226,92800,3700,324
1227,92900,84,82
1228,93200,837,158
1229,94000,445,371
1230,94200,1955,103
1231,94300,968,85
1232,94400,5480,758
1233,94500,1367,162
1234,94510,1367,162
1235,94520,1367,162
1236,94530,1367,162
1237,94590,588,86
1238,94600,63,22
1239,94610,29,7
1240,94620,172,14
1241,95000,120,35
1242,95300,723,212
1243,95400,3125,211
1244,95700,823,52
1245,95900,167,111
1246,96000,3923,567
1247,96100,7553,1224
1248,96200,181,115
1249,96800,167,105
1250,96900,25,15
1251,97000,1540,158
1252,97100,707,217
1253,97110,36,7
1254,97120,42,5
1255,97130,91,8
1256,97330,921,130
1257,98100,402,182
1258,98200,1990,430
1259,98300,1032,108
1260,98400,3225,656
1261,98500,134,121
1262,98600,197,53
1263,98800,3879,235
1264,98810,0,0
1265,98900,141,91
1266,99100,97,283
1267,99110,0,0
1268,99120,29,20
1269,99200,104,11
1270,99300,1773,297
1271,99400,156,166
1272,99410,40,81
1273,99700,748,100
1274,99900,15666,3202
1275,99910,961,239
1276,99930,0,0
1277,100400,52,15
1278,100980,75,5
1279,102200,257,76
1280,102210,0,0
1281,102400,20,9
1282,102500,8523,1201
1283,102600,5371,180
1284,102810,87,20
1285,102840,1707,373
1286,102850,199,74
1287,104000,148,51
1288,104020,91,38
1289,104100,53,24
1290,104200,4036,731
1291,104600,387,90
1292,104900,22057,7558
1293,105000,1000,314
1294,105100,206,251
1295,105300,293,77
1296,105420,167,49
1297,105450,13759,1801
1298,105600,255600,7797
1299,105700,80,50
1300,105800,558,140
1301,107100,27887,1098
1302,107200,2315,202
1303,107300,994,187
1304,107310,2868,222
1305,107410,105034,12524
1306,107600,974,60
1307,107800,1490,130
1308,108110,35,75
1309,108200,1476,283
1310,108210,177,119
1311,108500,540,70
1312,108600,17273,2606
1313,108700,376,158
1314,108710,22962,2163
1315,108800,6724,1432
1316,109200,77,22
1317,109500,116,77
1318,109600,18517,5297
1319,109700,54,32
1320,110400,117,40
1321,110500,54,26
1322,110600,30,26
1323,110610,47,17
1324,110630,23,14
1325,110800,14096,2315
1326,111000,40,32
1327,111010,41,20
1328,111100,363,81
1329,111300,21,9
1330,111400,180,206
1331,111600,514,92
1332,111800,551,156
1333,111900,289,1036
1334,112100,342,76
1335,113020,7237,749
1336,113200,43227,1923
1337,113400,20028,11779
1338,113420,3938,3142
1339,115100,2635,210
1340,115110,1271,155
1341,115120,573,124
1342,115200,151,183
1343,115210,180,92
1344,115220,151,73
1345,115320,5411,2244
1346,115800,3542,555
1347,116100,201,132
1348,116120,117,27
1349,200010,1224,225
1350,200020,131,191
1351,200080,68,30
1352,200130,150,44
1353,200150,94,110
1354,200170,3922,686
1355,200190,68,40
1356,200210,23414,4728
1357,200230,286,177
1358,200260,25995,1255
1359,200350,0,0
1360,200370,275,167
1361,200390,173,170
1362,200410,45,47
1363,200490,68,48
1364,200510,36630,2072
1365,200550,65,113
1366,200670,54,101
1367,200710,29539,1757
1368,200900,5120,230
1369,200910,1109,175
1370,200940,2427,269
1371,200960,268,17
1372,200980,32,3
1373,200990,26,4
1374,201000,24,2
1375,201010,60,6
1376,201070,188,133
1377,201210,384,148
1378,201230,846,319
1379,201290,428,149
1380,201420,671,130
1381,201480,330,310
1382,201490,61,386
1383,201510,290,1874
1384,201570,1429,462
1385,201790,13321,682
1386,201810,26727,3011
1387,201830,1097,605
1388,201870,5912,1055
1389,201930,0,0
1390,202070,187,41
1391,202130,167,208
1392,202170,14788,893
1393,202200,894,300
1394,202310,541,450
1395,202370,36,24
1396,202410,107,22
1397,202530,618,754
1398,202670,42,7
1399,202690,117,4
1400,202710,564,212
1401,202730,345,56
1402,202750,3598,1468
1403,202860,36,49
1404,202970,25827,4658
1405,203140,23277,2478
1406,203160,93509,4103
1407,203210,790,79
1408,203290,6413,1902
1409,203350,727,156
1410,203510,581,93
1411,203560,203,47
1412,203630,1811,293
1413,203650,663,206
1414,203680,689,215
1415,203750,4416,742
1416,203770,31668,4187
1417,203810,4579,1462
1418,203830,1279,199
1419,203990,211,24
1420,204030,4384,364
1421,204060,1764,489
1422,204100,21581,4374
1423,204120,628,104
1424,204180,1778,345
1425,204220,161,61
1426,204240,2950,374
1427,204300,20770,3678
1428,204340,5353,702
1429,204360,50273,2063
1430,204390,94,20
1431,204440,112,26
1432,204530,1954,127
1433,204560,77,228
1434,204580,23,4
1435,204630,2005,243
1436,204760,52,144
1437,204860,188,101
1438,204880,8642,712
1439,204940,89,53
