id,appid,genre
490,18400,"Casual, Strategy"
491,18420,"Casual, Strategy"
492,18430,"Casual, Strategy"
493,18450,"Casual, Strategy"
494,18460,"Casual, Strategy"
495,18470,Strategy
496,18480,Adventure
497,18500,"Indie, Strategy"
498,18600,"Indie, Strategy"
499,18700,"Action, Indie"
500,18820,"Action, Indie, Racing, Sports"
501,19000,Adventure
502,19020,"Casual, RPG"
503,19030,"Action, Adventure"
504,19080,"Action, Adventure, Casual"
505,19200,"Action, Indie"
506,19320,"Action, Indie, Casual"
507,19500,"Adventure, Indie"
508,19800,Action
509,19810,Action
510,19830,Action
511,19900,Action
512,19980,"Action, Adventure"
513,20200,"Indie, Casual, Sports"
514,20500,Action
515,20510,"Action, RPG"
516,20530,Action
517,20540,Strategy
518,20550,"Action, Strategy"
519,20570,Strategy
520,20700,"Action, Indie, Strategy"
521,20710,"Action, Indie, Strategy"
522,20820,"Action, Indie"
523,20900,"Action, RPG"
524,20920,RPG
525,21000,"Action, Adventure"
526,21010,Action
527,21030,Action
528,21090,Action
529,21100,Action
530,21110,Action
531,21120,Action
532,21130,"Action, Adventure"
533,21300,"Indie, Casual"
534,21400,"Strategy, Action, Indie"
535,21500,Racing
536,21600,"Casual, Strategy"
537,21640,"Casual, Strategy"
538,21660,Action
539,21670,"Action, Adventure"
540,21680,Action
541,21690,"Action, Adventure"
542,21780,Racing
543,21800,Strategy
544,21980,Action
545,22000,Indie
546,22100,"Indie, RPG"
547,22120,"Nudity, Gore, Action, Adventure, Indie"
548,22130,Strategy
549,22140,"Adventure, Indie"
550,22180,"Gore, Action, Adventure, Indie"
551,22200,"Action, Indie"
552,22230,"Action, Indie, Racing, Strategy"
553,22300,RPG
554,22310,Action
555,22320,RPG
556,22330,RPG
557,22340,
558,22350,"Action, Free to Play"
559,22370,RPG
560,22380,"Action, RPG"
561,22450,"Action, Adventure"
562,22490,"Action, RPG"
563,22500,Strategy
564,22600,Strategy
565,22610,Action
566,22650,Action
567,22670,Action
568,23130,
569,23140,
570,23150,"Casual, Indie"
571,23300,Casual
572,23310,RPG
573,23380,RPG
574,23400,"Simulation, Strategy"
575,23420,Strategy
576,23450,"Simulation, Strategy"
577,23460,"Action, Adventure, Strategy"
578,23490,"Simulation, Strategy"
579,23500,"Casual, RPG"
580,23530,Action
581,23600,"Indie, RPG, Strategy"
582,23700,Casual
583,24010,Simulation
584,24200,"Action, Adventure, Free to Play, Massively Multiplayer, RPG"
585,24240,Action
586,24400,"RPG, Strategy"
587,24410,Strategy
588,24420,Indie
589,24460,"RPG, Strategy"
590,24480,"RPG, Strategy"
591,24640,Simulation
592,24650,Simulation
593,24660,Simulation
594,24670,Simulation
595,24720,"Action, Simulation"
596,24740,Racing
597,24780,"Simulation, Strategy"
598,24790,Strategy
599,24800,Strategy
600,24810,Strategy
601,24840,Action
602,24870,Racing
603,24960,Action
604,24980,RPG
605,25000,"Action, Indie"
606,25010,Action
607,25500,"Indie, Simulation, Sports"
608,25600,"Indie, RPG"
609,25620,"Indie, RPG"
610,25700,Indie
611,25730,
612,25800,Strategy
613,25830,Strategy
614,25850,"RPG, Strategy"
615,25890,Strategy
616,25900,"RPG, Strategy"
617,25910,Strategy
618,25930,Strategy
619,25980,"Simulation, Strategy"
620,25990,"Strategy, Simulation"
621,26000,"Action, Indie"
622,26300,"Action, Indie"
623,26500,"Indie, Casual"
624,26800,"Casual, Indie, Strategy"
625,26900,"Casual, Indie"
626,27000,"Adventure, Indie"
627,27020,"Indie, Simulation"
628,27050,"Adventure, Casual, Indie"
629,27200,Sports
630,27330,Action
631,27400,"RPG, Indie, Casual"
632,27600,"Indie, Casual"
633,27800,Indie
634,27810,Indie
635,27900,"Action, Adventure"
636,27920,"Action, Indie"
637,27940,"Action, Indie"
638,28000,Action
639,29017,
640,29120,"Indie, Casual"
641,29130,"Indie, Casual"
642,29160,"Adventure, Indie"
643,29180,"Indie, Casual"
644,29800,"Action, Adventure, Casual, Indie, RPG, Strategy"
645,29900,Action
646,31170,Adventure
647,31180,Adventure
648,31190,Adventure
649,31200,Adventure
650,31210,Adventure
651,31220,"Action, Adventure"
652,31230,Adventure
653,31240,Adventure
654,31250,Adventure
655,31260,Adventure
656,31270,"Adventure, Casual"
657,31280,"Casual, Sports"
658,31290,Adventure
659,31300,Action
660,31700,"Action, Indie"
661,31800,Adventure
662,31810,Adventure
663,31820,Adventure
664,31830,Adventure
665,31840,Adventure
666,31850,Adventure
667,31860,Adventure
668,31870,"Adventure, Casual"
669,31880,Adventure
670,31890,Action
671,31900,Adventure
672,31910,Adventure
673,31920,Adventure
674,31930,Adventure
675,31980,Adventure
676,32000,"Indie, Casual"
677,32110,Casual
678,32120,Casual
679,32140,"Adventure, Casual"
680,32150,"Casual, Indie, Strategy"
681,32160,"Sports, Casual"
